Date,PTO Policy Inventory Level,Fixed Order-Quantity Policy Inventory Level,E2E Policy Inventory Level,Order-Up-To Policy Inventory Level,PTO Policy Reorder Quantity,Fixed Order-Quantity Reorder Quantity,Order-Up-To Policy Reorder Quantity,E2E Reorder Quantity,PTO Policy Reorder Date,Fixed Order-Quantity Reorder Date,Order-Up-To Policy Reorder Date,E2E Reorder Date,PTO Policy Delivery Date,Fixed Order-Quantity Policy Delivery Date,Order-Up-To Policy Delivery Date,E2E Delivery Date
2025-01-01,100.0,100.0,100.0,100.0,,,,,No,No,No,No,No,No,No,No
2025-01-02,94.25642233610733,94.25642233610733,94.25642233610733,94.25642233610733,,,,,No,No,No,No,No,No,No,No
2025-01-03,87.1516377699771,87.1516377699771,87.1516377699771,87.1516377699771,,75,105.74357766389267,1.204011950178682,No,Yes,Yes,Yes,No,No,No,Yes
2025-01-04,74.97044779045471,74.97044779045471,74.97044779045471,74.97044779045471,,,,,No,No,No,No,No,No,No,No
2025-01-05,69.12135400555435,69.12135400555435,69.12135400555435,69.12135400555435,,,,,No,No,No,No,No,No,No,No
2025-01-06,57.02640503685777,57.02640503685777,57.02640503685777,57.02640503685777,,,,,No,No,No,No,No,No,No,No
2025-01-07,49.9908708767853,124.9908708767853,51.19488282696398,155.73444854067796,,,,,No,No,No,No,No,Yes,Yes,No
2025-01-08,40.15965736374123,115.15965736374123,41.363669313919914,145.90323502763388,,,,,No,No,No,No,No,No,No,No
2025-01-09,32.542585032536365,107.54258503253637,33.74659698271505,138.28616269642902,,,,,No,No,No,No,No,No,No,No
2025-01-10,24.477712057572003,99.477712057572,25.681724007750685,130.22128972146464,62.58306478851905,75,61.71383730357098,49.20516798152943,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-11,13.446395678067129,88.44639567806713,14.65040762824581,119.18997334195977,,,,,No,No,No,No,No,No,No,No
2025-01-12,5.900772615951554,80.90077261595155,7.104784566130236,111.64435027984419,,,,,No,No,No,No,No,No,No,No
2025-01-13,2.9276491019551605,77.92764910195515,4.131661052133842,108.67122676584779,,,,,No,No,No,No,No,No,No,No
2025-01-14,59.08097897870955,146.4979141901905,46.907094121898616,163.95532915765412,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-15,51.82561217004634,139.2425473815273,39.651727313235405,156.6999623489909,,,,,No,No,No,No,No,No,No,No
2025-01-16,35.337286784268855,122.7542219957498,23.163401927457922,140.21163696321344,,,,,No,No,No,No,No,No,No,No
2025-01-17,27.203279923072564,114.6202151345535,15.02939506626163,132.07763010201714,49.936888525235624,75,59.78836303678656,67.63168009381882,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-18,20.23875783177529,107.65569304325624,8.064872974964356,125.11310801071987,,,,,No,No,No,No,No,No,No,No
2025-01-19,-1.3885985522046234,86.02833665927632,-13.562483409015556,103.48575162673995,,,,,No,No,No,No,No,No,No,No
2025-01-20,-6.3991850964947705,156.01775011498617,49.05861014051311,158.26352811923638,,,,,No,No,No,No,No,Yes,Yes,No
2025-01-21,37.83448673410704,150.31453342035235,43.355393445879294,152.56031142460256,,,,,No,No,No,No,Yes,No,No,No
